   1    1       14.256833324      19.604083786      16.584187995
   1    2       10.772870436      14.917517522      12.575789477
   1    3        7.067719199       9.940850811       8.325756144
   1    4        3.063546892       4.514143322       3.699677080
   1    5        0.443438674       0.840539370       0.611310762
   1    6       11.372207256      23.338043099      16.099109800
   1    7       30.908289966      62.610854904      43.470717798
   1    8        4.747847116      10.201151151       6.890568480
   1    9       24.299123692      49.473962957      34.262176478
   1   10        1.690730707       3.912715044       2.559298728
   1   11       16.549052901      34.322241783      23.555567314
   1   12        0.252821214       0.820637834       0.460356083
   1   13        4.065311900       9.687837138       6.245172716
       -0.1359667057       -0.1284178204
